09/06/2025-00:55:25.217516  [**] [1:2036220:6] ET INFO Android Device Connectivity Check [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.234:43990 -> 142.250.70.227:80
09/06/2025-00:57:07.610335  [**] [1:2060502:1] ET INFO Discord Chat Service Domain in DNS Lookup (gateway .discord .gg) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.234:26879 -> 10.42.0.1:53
09/06/2025-00:57:07.673555  [**] [1:2060504:1] ET INFO Observed Discord Service Domain (gateway .discord .gg) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.234:37288 -> 162.159.136.234:443
09/06/2025-00:57:22.915356  [**] [1:2035465:4] ET INFO Observed Discord Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.234:60738 -> 10.42.0.1:53
09/06/2025-00:57:22.915356  [**] [1:2060503:1] ET INFO Discord Chat Service Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.234:60738 -> 10.42.0.1:53
09/06/2025-00:57:23.037030  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.234:39066 -> 162.159.128.233:443
09/06/2025-00:57:23.037030  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.234:39066 -> 162.159.128.233:443
09/06/2025-00:58:34.392384  [**] [1:2210054:1] SURICATA STREAM excessive retransmissions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 209.85.137.4:443 -> 10.42.0.234:40930
09/06/2025-01:33:11.499682  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.1:8000 -> 10.42.0.214:38028
09/06/2025-01:52:04.163968  [**] [1:2035466:4] ET INFO Observed Discord Domain in DNS Lookup (discordapp .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:30209 -> 10.42.0.1:53
09/06/2025-01:52:04.243482  [**] [1:2035464:3] ET INFO Observed Discord Domain (discordapp .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:36474 -> 162.159.133.233:443
09/06/2025-01:59:07.917079  [**] [1:2060502:1] ET INFO Discord Chat Service Domain in DNS Lookup (gateway .discord .gg) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:15866 -> 10.42.0.1:53
09/06/2025-01:59:07.996901  [**] [1:2060504:1] ET INFO Observed Discord Service Domain (gateway .discord .gg) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:52064 -> 162.159.136.234:443
09/06/2025-01:59:12.887087  [**] [1:2035465:4] ET INFO Observed Discord Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:5172 -> 10.42.0.1:53
09/06/2025-01:59:12.887087  [**] [1:2060503:1] ET INFO Discord Chat Service Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:5172 -> 10.42.0.1:53
09/06/2025-01:59:12.957650  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:56046 -> 162.159.135.232:443
09/06/2025-01:59:12.957650  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:56046 -> 162.159.135.232:443
09/06/2025-02:10:08.418328  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.1:8000 -> 10.42.0.214:49884
09/06/2025-02:34:43.490973  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.1:8000 -> 10.42.0.214:36778
09/06/2025-02:34:46.936935  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.1:8000 -> 10.42.0.214:36792
09/06/2025-02:54:36.003178  [**] [1:2035466:4] ET INFO Observed Discord Domain in DNS Lookup (discordapp .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:43678 -> 10.42.0.1:53
09/06/2025-02:54:36.072173  [**] [1:2035464:3] ET INFO Observed Discord Domain (discordapp .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:57556 -> 162.159.129.233:443
