------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:26:45 (uptime: 0d, 00h 01m 21s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 12
capture.afpacket.polls                        | Total                     | 241
capture.afpacket.poll_timeout                 | Total                     | 229
capture.afpacket.poll_data                    | Total                     | 12
decoder.pkts                                  | Total                     | 13
decoder.bytes                                 | Total                     | 702
decoder.ipv4                                  | Total                     | 11
decoder.ethernet                              | Total                     | 13
decoder.arp                                   | Total                     | 2
decoder.tcp                                   | Total                     | 11
tcp.syn                                       | Total                     | 6
tcp.rst                                       | Total                     | 5
decoder.avg_pkt_size                          | Total                     | 54
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 6
flow.total                                    | Total                     | 6
flow.active                                   | Total                     | 6
flow.tcp                                      | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 3
tcp.sessions                                  | Total                     | 6
tcp.ssn_from_pool                             | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9700
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 3
flow.mgr.flows_notimeout                      | Total                     | 3
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:26:53 (uptime: 0d, 00h 01m 29s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 30
capture.afpacket.polls                        | Total                     | 610
capture.afpacket.poll_timeout                 | Total                     | 580
capture.afpacket.poll_data                    | Total                     | 30
decoder.pkts                                  | Total                     | 31
decoder.bytes                                 | Total                     | 1710
decoder.ipv4                                  | Total                     | 29
decoder.ethernet                              | Total                     | 31
decoder.arp                                   | Total                     | 2
decoder.tcp                                   | Total                     | 29
tcp.syn                                       | Total                     | 15
tcp.rst                                       | Total                     | 14
decoder.avg_pkt_size                          | Total                     | 55
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 15
flow.total                                    | Total                     | 15
flow.active                                   | Total                     | 15
flow.tcp                                      | Total                     | 15
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 15
tcp.ssn_from_pool                             | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 11
flow.mgr.flows_notimeout                      | Total                     | 11
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:27:01 (uptime: 0d, 00h 01m 37s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 48
capture.afpacket.polls                        | Total                     | 860
capture.afpacket.poll_timeout                 | Total                     | 814
capture.afpacket.poll_data                    | Total                     | 46
decoder.pkts                                  | Total                     | 48
decoder.bytes                                 | Total                     | 2604
decoder.ipv4                                  | Total                     | 42
decoder.ethernet                              | Total                     | 48
decoder.arp                                   | Total                     | 6
decoder.tcp                                   | Total                     | 42
tcp.syn                                       | Total                     | 21
tcp.rst                                       | Total                     | 21
decoder.avg_pkt_size                          | Total                     | 54
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 21
flow.total                                    | Total                     | 21
flow.active                                   | Total                     | 21
flow.tcp                                      | Total                     | 21
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 21
tcp.ssn_from_pool                             | Total                     | 21
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 18
flow.mgr.flows_notimeout                      | Total                     | 18
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:27:09 (uptime: 0d, 00h 01m 45s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 66
capture.afpacket.polls                        | Total                     | 1229
capture.afpacket.poll_timeout                 | Total                     | 1165
capture.afpacket.poll_data                    | Total                     | 64
decoder.pkts                                  | Total                     | 66
decoder.bytes                                 | Total                     | 3612
decoder.ipv4                                  | Total                     | 60
decoder.ethernet                              | Total                     | 66
decoder.arp                                   | Total                     | 6
decoder.tcp                                   | Total                     | 60
tcp.syn                                       | Total                     | 30
tcp.rst                                       | Total                     | 30
decoder.avg_pkt_size                          | Total                     | 54
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 30
flow.total                                    | Total                     | 30
flow.active                                   | Total                     | 30
flow.tcp                                      | Total                     | 30
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 30
tcp.ssn_from_pool                             | Total                     | 30
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 25
flow.mgr.flows_notimeout                      | Total                     | 25
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:27:17 (uptime: 0d, 00h 01m 53s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 86
capture.afpacket.polls                        | Total                     | 1597
capture.afpacket.poll_timeout                 | Total                     | 1514
capture.afpacket.poll_data                    | Total                     | 83
decoder.pkts                                  | Total                     | 86
decoder.bytes                                 | Total                     | 4704
